2018-03-18 22:29:02:INFO: SecondCandleClose:'1229475', BBUp:'1229471', BBLow:'1229294', RSI: '48', ARUp:'7', ARDown:'42'
2018-03-18 22:30:01:INFO: SecondCandleClose:'1229488', BBUp:'1229485', BBLow:'1229285', RSI: '53', ARUp:'100', ARDown:'35'
2018-03-18 22:31:01:INFO: SecondCandleClose:'1229480', BBUp:'1229511', BBLow:'1229276', RSI: '61', ARUp:'100', ARDown:'28'
2018-03-18 22:32:02:INFO: SecondCandleClose:'1229453', BBUp:'1229529', BBLow:'1229273', RSI: '60', ARUp:'92', ARDown:'21'
2018-03-18 22:33:01:INFO: SecondCandleClose:'1229477', BBUp:'1229524', BBLow:'1229303', RSI: '68', ARUp:'85', ARDown:'14'
2018-03-18 22:34:02:INFO: SecondCandleClose:'1229532', BBUp:'1229531', BBLow:'1229316', RSI: '66', ARUp:'78', ARDown:'7'
2018-03-18 22:35:02:INFO: SecondCandleClose:'1229542', BBUp:'1229552', BBLow:'1229323', RSI: '70', ARUp:'71', ARDown:'7'
2018-03-18 22:36:02:INFO: SecondCandleClose:'1229535', BBUp:'1229569', BBLow:'1229333', RSI: '70', ARUp:'100', ARDown:'42'
2018-03-18 22:37:02:INFO: SecondCandleClose:'1229596', BBUp:'1229587', BBLow:'1229333', RSI: '64', ARUp:'92', ARDown:'35'
2018-03-18 22:38:02:INFO: SecondCandleClose:'1229574', BBUp:'1229618', BBLow:'1229332', RSI: '74', ARUp:'100', ARDown:'28'
2018-03-18 22:39:01:INFO: SecondCandleClose:'1229560', BBUp:'1229638', BBLow:'1229335', RSI: '68', ARUp:'100', ARDown:'21'
2018-03-18 22:40:02:INFO: SecondCandleClose:'1229557', BBUp:'1229642', BBLow:'1229358', RSI: '73', ARUp:'92', ARDown:'14'
2018-03-18 22:41:01:INFO: SecondCandleClose:'1229613', BBUp:'1229629', BBLow:'1229399', RSI: '76', ARUp:'85', ARDown:'7'
2018-03-18 22:42:02:INFO: SecondCandleClose:'1229589', BBUp:'1229641', BBLow:'1229417', RSI: '77', ARUp:'100', ARDown:'7'
2018-03-18 22:43:01:INFO: SecondCandleClose:'1229690', BBUp:'1229649', BBLow:'1229427', RSI: '67', ARUp:'100', ARDown:'7'
2018-03-18 22:44:01:INFO: SecondCandleClose:'1229651', BBUp:'1229692', BBLow:'1229414', RSI: '74', ARUp:'100', ARDown:'28'
2018-03-18 22:45:02:INFO: SecondCandleClose:'1229647', BBUp:'1229708', BBLow:'1229425', RSI: '69', ARUp:'100', ARDown:'21'
2018-03-18 22:46:02:INFO: SecondCandleClose:'1229693', BBUp:'1229709', BBLow:'1229454', RSI: '73', ARUp:'92', ARDown:'14'
2018-03-18 22:47:02:INFO: SecondCandleClose:'1229718', BBUp:'1229722', BBLow:'1229474', RSI: '74', ARUp:'100', ARDown:'7'
2018-03-18 22:48:02:INFO: SecondCandleClose:'1229897', BBUp:'1229748', BBLow:'1229477', RSI: '72', ARUp:'100', ARDown:'28'
2018-03-18 22:49:01:INFO: SecondCandleClose:'1229890', BBUp:'1229852', BBLow:'1229427', RSI: '80', ARUp:'100', ARDown:'21'
2018-03-18 22:50:02:INFO: SecondCandleClose:'1229929', BBUp:'1229915', BBLow:'1229418', RSI: '80', ARUp:'100', ARDown:'14'
2018-03-18 22:51:01:INFO: SecondCandleClose:'1229759', BBUp:'1229982', BBLow:'1229403', RSI: '79', ARUp:'100', ARDown:'7'
2018-03-18 22:52:01:INFO: SecondCandleClose:'1229778', BBUp:'1229988', BBLow:'1229426', RSI: '63', ARUp:'92', ARDown:'21'
2018-03-18 22:53:02:INFO: SecondCandleClose:'1229694', BBUp:'1229989', BBLow:'1229457', RSI: '65', ARUp:'85', ARDown:'14'
2018-03-18 22:54:01:INFO: SecondCandleClose:'1229779', BBUp:'1229978', BBLow:'1229490', RSI: '58', ARUp:'78', ARDown:'7'
2018-03-18 22:55:02:INFO: SecondCandleClose:'1229774', BBUp:'1229978', BBLow:'1229516', RSI: '60', ARUp:'71', ARDown:'7'
2018-03-18 22:56:02:INFO: SecondCandleClose:'1229677', BBUp:'1229967', BBLow:'1229555', RSI: '61', ARUp:'64', ARDown:'7'
2018-03-18 22:57:02:INFO: SecondCandleClose:'1229664', BBUp:'1229968', BBLow:'1229552', RSI: '49', ARUp:'57', ARDown:'7'
2018-03-18 22:58:01:INFO: SecondCandleClose:'1229664', BBUp:'1229966', BBLow:'1229556', RSI: '50', ARUp:'50', ARDown:'14'
2018-03-18 22:59:02:INFO: SecondCandleClose:'1229789', BBUp:'1229960', BBLow:'1229578', RSI: '56', ARUp:'42', ARDown:'7'
2018-03-18 23:00:02:INFO: SecondCandleClose:'1229750', BBUp:'1229961', BBLow:'1229592', RSI: '55', ARUp:'35', ARDown:'7'
2018-03-18 23:01:01:INFO: SecondCandleClose:'1229656', BBUp:'1229960', BBLow:'1229598', RSI: '51', ARUp:'28', ARDown:'78'
