1519641240,1234280,62.820512820512818,1234275.431280246,1233621.7115768967,653.71970334928483,1234315
1519641300,1234315,60.677966101694913,1234352.0656455958,1233590.0772115469,761.98843404883519,1234460
1519641360,1234460,62.939297124600635,1234461.4525561079,1233538.5474438921,922.90511221578345,1234440
1519641360,1234460,68.88111888111888,1234551.4281122778,1233525.714744865,1025.7133674127981,1234440
1519641480,1234390,65.979381443298962,1234612.434998343,1233531.1364302284,1081.2985681146383,1234385
1519641540,1234385,60.159362549800797,1234655.6990229932,1233524.3009770068,1131.3980459864251,1234605
1519641600,1234605,86.666666666666671,1234746.5028805693,1233551.354262288,1195.1486182813533,1234495
1519641660,1234495,78.688524590163937,1234785.9835232717,1233611.8736195855,1174.1099036862142,1234895
1519641660,1234495,83.800623052959509,1234925.5039916218,1233627.3531512355,1298.1508403862827,1234895
1519641720,1234895,83.800623052959509,1235011.8527963317,1233696.0043465255,1315.8484498062171,1234875
1519641780,1234875,86.458333333333329,1235195.6125034003,1233712.244639457,1483.3678639433347,1235240
1519641900,1235395,89.851485148514854,1235361.3559869004,1233776.5011559569,1584.8548309435137,1235050
1519641960,1235050,74.117647058823536,1235407.0130249653,1233877.2726893206,1529.7403356446885,1235050
1519641960,1235050,72.29219143576826,1235446.2657771674,1233964.4485085467,1481.8172686207108,1235050
1519642080,1235140,71.938775510204081,1235498.3236847273,1234035.2477438441,1463.0759408832528,1235290
1519642140,1235290,73.493975903614455,1235568.3326064521,1234104.5245364052,1463.8080700468272,1235080
1519642200,1235080,63.594470046082947,1235587.1869298872,1234258.5273558269,1328.6595740602352,1235030
1519642260,1235030,63.594470046082947,1235587.1869298872,1234258.5273558269,1328.6595740602352,1235225
1519642320,1235225,68.034557235421175,1235588.0861750287,1234376.9138249713,1211.1723500574008,1235175
1519642380,1235175,66.737288135593218,1235543.4798354458,1234534.3773074115,1009.1025280342437,1235035
1519642380,1235175,59.429824561403514,1235508.4781037052,1234630.8076105807,877.67049312451854,1235035
1519642500,1234975,60.762331838565025,1235401.6940592092,1234806.1630836481,595.53097556112334,1235205
1519642560,1235205,57.524271844660191,1235402.2313201465,1234849.9115369963,552.31978315021843,1235040
1519642620,1235040,53.741496598639451,1235379.8270801392,1234895.8872055749,483.9398745642975,1234975
1519642680,1234975,43.044619422572175,1235367.8393855905,1234870.0177572668,497.82162832375616,1234675
1519642680,1234975,32.439024390243901,1235363.7262648705,1234771.2737351295,592.45252974098548,1234675
1519642740,1234675,37.047353760445688,1235427.3967211724,1234641.174707399,786.22201377339661,1234585
1519642860,1234600,37.569060773480665,1235458.2588053865,1234546.0269088994,912.23189648706466,1234590
1519642920,1234590,34.104046242774572,1235460.6633190049,1234465.0509667092,995.61235229577869,1234740
1519642980,1234740,34.104046242774572,1235396.3444033852,1234450.7984537575,945.54594962764531,1234735
1519643040,1234735,38.688524590163929,1235372.5428021697,1234425.3143406876,947.22846148209646,1234725
1519643100,1234725,39.73063973063973,1235352.8401475362,1234401.4455667497,951.39458078658208,1234830
1519643160,1234830,35.842293906810042,1235280.5655016841,1234417.2916411732,863.27386051090434,1234740
1519643160,1234830,34.843205574912886,1235209.1216468536,1234426.5926388605,782.52900799317285,1234740
1519643280,1234535,33.333333333333329,1235179.2616009754,1234385.0241133105,794.2374876649119,1234440
1519643340,1234440,32.573289902280123,1235163.4370488606,1234324.4200939967,839.01695486390963,1234340
1519643400,1234340,19.217081850533816,1235062.0560918872,1234302.2296223987,759.82646948844194,1234330
1519643460,1234330,21.599999999999994,1234994.7556876838,1234268.1014551735,726.65423251036555,1234240
1519643520,1234240,29.850746268656721,1234942.2714915427,1234157.7285084573,784.54298308538273,1234270
1519643580,1234270,29.850746268656721,1234942.2714915427,1234157.7285084573,784.54298308538273,1234245
1519643640,1234245,31.914893617021278,1234949.4859430746,1234101.9426283541,847.54331472050399,1234210
1519643700,1234210,29.6875,1234950.8593382274,1234044.8549474867,906.00439074076712,1234225
1519643760,1234225,31.088082901554401,1234943.5680490853,1234000.003379486,943.56466959929094,1234225
1519643820,1234225,18.404907975460119,1234896.9024205976,1233973.0975794024,923.80484119523317,1234185
1519643880,1234185,17.647058823529406,1234840.9602357727,1233950.468335656,890.49190011667088,1234275
1519643880,1234185,25.806451612903231,1234769.6678281045,1233957.4750290383,812.1927990661934,1234275
1519644000,1234260,16.071428571428569,1234629.6698967211,1234016.0443889929,613.62550772819668,1234290
1519644060,1234290,21.15384615384616,1234481.6978590244,1234099.7307124042,381.96714662015438,1234185
1519644120,1234185,24.264705882352942,1234403.043600355,1234128.3849710736,274.65862928144634,1234030
1519644180,1234030,22.297297297297305,1234387.8032249038,1234085.0539179535,302.7493069502525,1234130
1519644240,1234130,39.610389610389603,1234346.9446828226,1234073.0553171774,273.88936564512551,1234170
1519644300,1234170,39.610389610389603,1234346.9446828226,1234073.0553171774,273.88936564512551,1234180
1519644360,1234180,45.652173913043484,1234342.369784232,1234069.0587871966,273.31099703535438,1234085
1519644420,1234085,37.748344370860927,1234337.8774927044,1234047.1225072956,290.75498540885746,1234175
1519644480,1234175,45.731707317073173,1234329.8835556617,1234045.1164443383,284.7671113233082,1234175
1519644540,1234175,47.770700636942671,1234326.9100473479,1234043.0899526521,283.82009469578043,1233865
1519644600,1233865,33.333333333333329,1234379.0708241207,1233939.5006044507,439.57021966995671,1233780
1519644660,1233780,30.901287553648061,1234422.2684880344,1233832.7315119656,589.5369760687463,1233675
1519644720,1233675,29.268292682926827,1234469.4318300495,1233712.7110270932,756.72080295626074,1233845
